epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.8936,0.2716,1.4499,0.3025,0.2959
2,1.6109,0.3333,1.4896,0.2798,0.2632
3,1.4857,0.3799,1.4362,0.3210,0.3159
4,1.4029,0.4207,1.4805,0.3210,0.3194
5,1.3085,0.4530,1.4714,0.3313,0.3311
6,1.1831,0.5062,1.4962,0.3539,0.3541
7,1.0774,0.5575,1.5008,0.3683,0.3670
8,1.0229,0.5840,1.5630,0.3663,0.3651
9,0.9061,0.6330,1.5481,0.3457,0.3475
10,0.8436,0.6614,1.5673,0.3642,0.3655
11,0.7977,0.6795,1.6311,0.3395,0.3388
12,0.7059,0.7246,1.5738,0.3889,0.3864
13,0.5910,0.7711,1.6503,0.3704,0.3714
14,0.5462,0.7892,1.7922,0.3560,0.3550
15,0.4913,0.8120,1.7235,0.4033,0.4034
16,0.3785,0.8623,1.7682,0.3951,0.3945
17,0.3767,0.8585,1.8229,0.4033,0.4043
18,0.3398,0.8756,1.8810,0.3827,0.3835
19,0.2971,0.8960,1.8968,0.3827,0.3850
20,0.2504,0.9188,1.9101,0.4074,0.4075
21,0.2238,0.9259,2.0313,0.3909,0.3912
22,0.2020,0.9406,2.0963,0.3848,0.3851
23,0.1752,0.9430,2.0629,0.3889,0.3895
24,0.1838,0.9354,2.1157,0.3868,0.3885
25,0.1900,0.9359,2.1679,0.3827,0.3836
26,0.1735,0.9387,2.2407,0.3786,0.3786
27,0.1620,0.9459,2.2281,0.3909,0.3893
28,0.1450,0.9530,2.1707,0.3848,0.3836
29,0.1256,0.9606,2.2622,0.4074,0.4074
30,0.1178,0.9658,2.3280,0.4115,0.4135
31,0.1292,0.9587,2.2631,0.4074,0.4068
32,0.1227,0.9587,2.3153,0.4198,0.4184
33,0.1220,0.9592,2.3089,0.3909,0.3929
34,0.1071,0.9687,2.4574,0.3868,0.3868
35,0.1105,0.9587,2.4144,0.4136,0.4126
36,0.1256,0.9568,2.4815,0.3951,0.3958
37,0.0938,0.9710,2.4938,0.3827,0.3847
38,0.1179,0.9544,2.5689,0.4136,0.4147
39,0.0765,0.9801,2.6257,0.3971,0.3969
40,0.0747,0.9782,2.7106,0.4053,0.4054
41,0.0812,0.9734,2.6298,0.4012,0.4028
42,0.1122,0.9606,2.7326,0.3992,0.3983
43,0.1004,0.9649,2.7472,0.3909,0.3948
44,0.1196,0.9582,2.6102,0.3827,0.3797
45,0.0915,0.9687,2.7381,0.3909,0.3922
46,0.1049,0.9606,2.7980,0.3786,0.3753
47,0.0924,0.9729,2.7335,0.4198,0.4197
48,0.0732,0.9777,2.6854,0.4095,0.4099
49,0.0744,0.9767,2.8108,0.4198,0.4172
50,0.0592,0.9796,2.6871,0.4280,0.4293
51,0.0603,0.9820,2.8250,0.4074,0.4079
52,0.0350,0.9900,2.8023,0.4259,0.4260
53,0.0352,0.9867,2.8045,0.4198,0.4201
54,0.0256,0.9934,2.8048,0.4300,0.4308
55,0.0285,0.9905,2.7647,0.4300,0.4315
56,0.0340,0.9896,2.8717,0.4218,0.4224
57,0.0266,0.9929,2.8364,0.4280,0.4307
58,0.0229,0.9929,2.8327,0.4300,0.4294
59,0.0195,0.9962,2.8315,0.4424,0.4429
60,0.0219,0.9943,2.8292,0.4362,0.4386
61,0.0220,0.9905,2.8692,0.4362,0.4381
62,0.0208,0.9972,2.9325,0.4342,0.4361
63,0.0210,0.9934,2.8722,0.4136,0.4146
64,0.0199,0.9943,2.8952,0.4095,0.4121
65,0.0238,0.9938,2.9452,0.4177,0.4195
66,0.0168,0.9943,2.9701,0.4177,0.4190
67,0.0174,0.9957,2.9636,0.3992,0.3998
68,0.0164,0.9972,2.9991,0.3992,0.4002
69,0.0258,0.9910,3.0206,0.3930,0.3946
70,0.0270,0.9915,3.0042,0.4012,0.4015
71,0.0247,0.9943,2.9892,0.4136,0.4148
72,0.0234,0.9929,2.9636,0.4156,0.4151
73,0.0256,0.9929,3.0672,0.4156,0.4173
74,0.0249,0.9938,2.9956,0.4074,0.4088
75,0.0222,0.9953,3.0822,0.3951,0.3969
76,0.0198,0.9938,3.2092,0.4053,0.4050
77,0.0136,0.9967,3.1733,0.3827,0.3832
78,0.0213,0.9943,3.1854,0.3909,0.3926
79,0.0176,0.9953,3.2145,0.3889,0.3896
80,0.0223,0.9915,3.2029,0.4012,0.4018
81,0.0181,0.9953,3.0856,0.3971,0.3999
82,0.0195,0.9924,3.0811,0.4012,0.4023
83,0.0199,0.9948,3.1955,0.4156,0.4162
84,0.0215,0.9938,3.2389,0.4095,0.4111
