epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.5829,0.3115,1.4744,0.3025,0.2781
2,1.3930,0.3875,1.3852,0.3786,0.3772
3,1.3062,0.4364,1.3269,0.4136,0.4021
4,1.2371,0.4582,1.3188,0.3951,0.3884
5,1.1457,0.5104,1.2209,0.4671,0.4584
6,1.0926,0.5356,1.2439,0.4774,0.4698
7,1.0681,0.5527,1.2700,0.4671,0.4663
8,1.0366,0.5689,1.2115,0.4733,0.4644
9,0.9722,0.5874,1.2350,0.4733,0.4618
10,0.9601,0.5931,1.2610,0.4918,0.4817
11,0.9418,0.6220,1.2186,0.4774,0.4546
12,0.8921,0.6277,1.1762,0.5185,0.4966
13,0.8831,0.6439,1.2730,0.4588,0.4514
14,0.8780,0.6429,1.1848,0.5021,0.5016
15,0.8138,0.6700,1.2757,0.4712,0.4776
16,0.8027,0.6795,1.2158,0.5123,0.4925
17,0.7719,0.7028,1.1722,0.5370,0.5224
18,0.7558,0.7037,1.1845,0.5123,0.4865
19,0.7385,0.6966,1.2104,0.4877,0.4885
20,0.7230,0.7213,1.1842,0.5103,0.4983
21,0.7237,0.7127,1.2448,0.5123,0.5034
22,0.6912,0.7284,1.1895,0.5288,0.5250
23,0.6724,0.7232,1.1882,0.5288,0.5230
24,0.6493,0.7365,1.2048,0.5165,0.5032
25,0.6311,0.7455,1.1942,0.5638,0.5503
26,0.6450,0.7341,1.2855,0.5350,0.5242
27,0.6197,0.7631,1.1886,0.5514,0.5478
28,0.6067,0.7578,1.1899,0.5494,0.5412
29,0.6265,0.7521,1.2854,0.5226,0.5207
30,0.6091,0.7569,1.2022,0.5514,0.5397
31,0.5839,0.7697,1.2185,0.5597,0.5530
32,0.5515,0.7811,1.2241,0.5453,0.5405
33,0.5718,0.7692,1.1810,0.5556,0.5421
34,0.5317,0.7830,1.3245,0.5226,0.5202
35,0.5401,0.7930,1.3120,0.5412,0.5249
36,0.5607,0.7858,1.1977,0.5432,0.5373
37,0.5335,0.7949,1.2030,0.5556,0.5487
38,0.5355,0.7915,1.3703,0.5165,0.4969
39,0.4923,0.8186,1.2205,0.5638,0.5620
40,0.4821,0.8091,1.3381,0.5247,0.5193
41,0.5100,0.8072,1.3296,0.5494,0.5422
42,0.5159,0.7949,1.2722,0.5556,0.5448
43,0.4701,0.8238,1.2969,0.5309,0.5232
44,0.4654,0.8272,1.2392,0.5576,0.5533
45,0.4421,0.8457,1.4469,0.5247,0.5171
46,0.4669,0.8219,1.3553,0.5144,0.5101
47,0.4360,0.8314,1.2650,0.5309,0.5310
48,0.4376,0.8367,1.2708,0.5638,0.5466
49,0.4505,0.8210,1.3598,0.5391,0.5333
50,0.4592,0.8238,1.2937,0.5412,0.5362
