epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.7293,0.2483,1.4087,0.2387,0.1920
2,1.6220,0.2616,1.4151,0.2490,0.2475
3,1.5526,0.2778,1.4172,0.2387,0.2359
4,1.4936,0.2773,1.4039,0.2572,0.2535
5,1.4451,0.2963,1.4045,0.2757,0.2681
6,1.4242,0.3082,1.3987,0.2798,0.2663
7,1.3875,0.3253,1.4470,0.2757,0.2430
8,1.3475,0.3495,1.4886,0.2778,0.2397
9,1.3397,0.3590,1.5150,0.2757,0.2310
10,1.3315,0.3613,1.5215,0.2984,0.2475
11,1.3214,0.3770,1.5715,0.2798,0.2256
12,1.2912,0.3955,1.5853,0.2881,0.2351
13,1.3047,0.3765,1.6648,0.2757,0.2214
14,1.2955,0.3822,1.5904,0.2860,0.2356
15,1.2837,0.3827,1.5376,0.2901,0.2547
16,1.2778,0.3965,1.6287,0.2922,0.2420
17,1.2687,0.3993,1.6230,0.3004,0.2547
18,1.2558,0.4084,1.5843,0.3045,0.2540
19,1.2544,0.4103,1.6052,0.3107,0.2655
20,1.2616,0.4041,1.5991,0.3086,0.2649
21,1.2417,0.4179,1.5657,0.3210,0.2803
22,1.2394,0.4250,1.6015,0.3169,0.2759
23,1.2405,0.4088,1.6359,0.3169,0.2742
24,1.2282,0.4459,1.6132,0.3025,0.2529
25,1.2139,0.4397,1.6611,0.3045,0.2558
26,1.2236,0.4169,1.5023,0.3354,0.3098
27,1.1903,0.4530,1.5325,0.3272,0.2967
28,1.2051,0.4587,1.5642,0.3086,0.2696
29,1.2078,0.4454,1.5957,0.3374,0.2972
30,1.2069,0.4416,1.5636,0.3169,0.2843
31,1.1878,0.4615,1.5523,0.3354,0.2979
32,1.1888,0.4568,1.4918,0.3457,0.3242
33,1.1785,0.4615,1.4681,0.3601,0.3414
34,1.1805,0.4644,1.5042,0.3601,0.3358
35,1.1872,0.4549,1.4655,0.3724,0.3495
36,1.1654,0.4710,1.5126,0.3663,0.3398
37,1.1744,0.4606,1.5758,0.3457,0.3180
38,1.1641,0.4677,1.5895,0.3519,0.3256
39,1.1625,0.4777,1.5121,0.3765,0.3534
40,1.1612,0.4763,1.4250,0.3745,0.3565
41,1.1416,0.4896,1.4815,0.3724,0.3495
42,1.1500,0.4772,1.4789,0.3765,0.3517
43,1.1544,0.4701,1.4433,0.3765,0.3509
44,1.1345,0.4957,1.4830,0.3621,0.3378
45,1.1356,0.4919,1.3708,0.4136,0.3939
46,1.1305,0.4744,1.3588,0.4280,0.4045
47,1.1230,0.4938,1.2945,0.4300,0.4151
48,1.1097,0.5123,1.2990,0.4198,0.4030
49,1.0985,0.5195,1.3562,0.4259,0.4037
50,1.1076,0.5195,1.3127,0.4259,0.4063
51,1.0948,0.5114,1.3174,0.4424,0.4221
52,1.0882,0.5408,1.2971,0.4280,0.4087
53,1.0793,0.5337,1.2935,0.4300,0.4136
54,1.0825,0.5233,1.2642,0.4280,0.4108
55,1.0782,0.5247,1.2892,0.4259,0.4053
56,1.1057,0.5071,1.3271,0.4259,0.4027
57,1.0691,0.5299,1.3232,0.4465,0.4182
58,1.0705,0.5323,1.2529,0.4506,0.4345
59,1.0553,0.5432,1.2452,0.4362,0.4221
60,1.0605,0.5399,1.2474,0.4362,0.4221
61,1.0701,0.5323,1.2981,0.4321,0.4103
62,1.0506,0.5494,1.2711,0.4486,0.4292
63,1.0603,0.5323,1.2832,0.4465,0.4288
64,1.0540,0.5394,1.2747,0.4506,0.4319
65,1.0626,0.5347,1.2521,0.4424,0.4280
66,1.0672,0.5385,1.2652,0.4383,0.4199
67,1.0544,0.5366,1.2746,0.4362,0.4141
68,1.0432,0.5489,1.2486,0.4424,0.4251
69,1.0344,0.5575,1.2548,0.4424,0.4214
70,1.0552,0.5389,1.2565,0.4424,0.4212
71,1.0503,0.5347,1.2721,0.4465,0.4218
72,1.0408,0.5613,1.2546,0.4403,0.4226
73,1.0467,0.5494,1.2658,0.4403,0.4177
74,1.0639,0.5361,1.2658,0.4403,0.4204
75,1.0379,0.5451,1.2636,0.4527,0.4343
76,1.0362,0.5532,1.2604,0.4609,0.4439
77,1.0523,0.5385,1.2406,0.4650,0.4491
78,1.0495,0.5484,1.2142,0.4588,0.4440
79,1.0376,0.5499,1.2395,0.4465,0.4269
80,1.0267,0.5670,1.2329,0.4547,0.4352
81,1.0332,0.5613,1.2180,0.4424,0.4238
82,1.0251,0.5579,1.2287,0.4547,0.4389
83,1.0379,0.5499,1.2066,0.4588,0.4426
84,1.0199,0.5613,1.2031,0.4671,0.4521
85,1.0205,0.5703,1.2186,0.4486,0.4318
86,1.0109,0.5660,1.2274,0.4568,0.4405
87,1.0201,0.5546,1.2495,0.4547,0.4321
88,1.0110,0.5774,1.2344,0.4506,0.4333
89,1.0143,0.5726,1.2382,0.4444,0.4245
90,1.0195,0.5684,1.2151,0.4609,0.4515
91,1.0179,0.5679,1.2171,0.4588,0.4417
92,1.0343,0.5674,1.1912,0.4671,0.4519
93,1.0311,0.5598,1.2286,0.4568,0.4385
94,1.0202,0.5660,1.1999,0.4671,0.4508
95,1.0257,0.5674,1.2128,0.4712,0.4522
96,1.0121,0.5689,1.2277,0.4588,0.4429
97,1.0070,0.5689,1.2116,0.4630,0.4519
98,1.0118,0.5651,1.2160,0.4506,0.4346
99,1.0253,0.5584,1.2075,0.4609,0.4439
100,1.0227,0.5793,1.1988,0.4630,0.4422
101,1.0019,0.5693,1.1892,0.4630,0.4456
102,1.0133,0.5665,1.1918,0.4650,0.4487
103,1.0166,0.5670,1.2042,0.4609,0.4422
104,0.9863,0.5793,1.2169,0.4671,0.4471
105,0.9894,0.5926,1.1915,0.4691,0.4529
106,1.0003,0.5807,1.1926,0.4794,0.4619
107,0.9847,0.5779,1.2290,0.4733,0.4520
108,0.9885,0.5826,1.2019,0.4753,0.4595
109,1.0120,0.5670,1.1957,0.4774,0.4632
110,0.9888,0.5807,1.1797,0.4774,0.4671
111,1.0093,0.5755,1.1832,0.4650,0.4525
112,0.9929,0.5869,1.1942,0.4774,0.4616
113,1.0065,0.5731,1.1815,0.4712,0.4594
114,0.9839,0.5798,1.1769,0.4588,0.4466
115,1.0024,0.5622,1.1750,0.4712,0.4581
116,1.0033,0.5798,1.1775,0.4650,0.4507
117,0.9861,0.5826,1.1939,0.4733,0.4554
118,0.9997,0.5674,1.1861,0.4650,0.4521
