epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.8581,0.2906,1.4508,0.3066,0.2897
2,1.6312,0.3248,1.5054,0.3189,0.3104
3,1.4940,0.3742,1.6022,0.3169,0.2936
4,1.3888,0.4236,1.6106,0.2695,0.2621
5,1.2587,0.4639,1.5527,0.3066,0.3045
6,1.1910,0.5071,1.6151,0.3374,0.3323
7,1.1000,0.5432,1.7371,0.3066,0.3025
8,0.9889,0.5921,1.7686,0.3374,0.3279
9,0.9247,0.6344,1.7541,0.3416,0.3345
10,0.8436,0.6538,1.8173,0.3374,0.3295
11,0.7184,0.7227,1.9929,0.3169,0.3046
12,0.6369,0.7507,1.8709,0.3580,0.3522
13,0.5947,0.7692,1.8849,0.3519,0.3447
14,0.5075,0.8044,1.8686,0.3704,0.3661
15,0.4579,0.8257,1.9683,0.3663,0.3618
16,0.3818,0.8628,2.0790,0.3663,0.3601
17,0.3559,0.8780,2.0364,0.3436,0.3411
18,0.3152,0.8837,2.2277,0.3477,0.3429
19,0.2878,0.8974,2.2650,0.3642,0.3445
20,0.2476,0.9198,2.1874,0.3621,0.3598
21,0.2307,0.9231,2.2295,0.3663,0.3647
22,0.2042,0.9345,2.3883,0.3560,0.3528
23,0.1976,0.9359,2.3286,0.3786,0.3755
24,0.1808,0.9454,2.4242,0.3765,0.3694
25,0.1605,0.9482,2.4048,0.3807,0.3795
26,0.1618,0.9430,2.4606,0.3807,0.3808
27,0.1501,0.9516,2.5075,0.3704,0.3693
28,0.1309,0.9625,2.4758,0.3807,0.3790
29,0.1391,0.9520,2.6374,0.3560,0.3512
30,0.1207,0.9649,2.5693,0.3683,0.3608
31,0.1085,0.9696,2.7743,0.3498,0.3400
32,0.1028,0.9668,2.7758,0.3580,0.3568
33,0.0953,0.9734,2.9397,0.3395,0.3365
34,0.0979,0.9672,2.7512,0.3642,0.3628
35,0.1147,0.9611,2.8257,0.3724,0.3690
36,0.1122,0.9649,2.8191,0.3663,0.3594
37,0.0977,0.9696,2.9186,0.3601,0.3515
38,0.0926,0.9706,2.9869,0.3621,0.3599
39,0.0963,0.9663,2.9867,0.3745,0.3712
40,0.0883,0.9715,3.0087,0.3827,0.3743
41,0.0630,0.9834,3.0461,0.3560,0.3495
42,0.0737,0.9748,3.1425,0.3601,0.3552
43,0.0763,0.9763,3.2762,0.3951,0.3923
44,0.0889,0.9687,3.1792,0.3827,0.3794
45,0.0828,0.9715,3.0989,0.3971,0.3923
46,0.0733,0.9772,3.1661,0.3930,0.3909
47,0.1037,0.9658,3.2186,0.3909,0.3874
48,0.0739,0.9725,3.3175,0.3827,0.3789
49,0.0689,0.9777,3.1618,0.4012,0.3973
50,0.0548,0.9805,3.3013,0.3807,0.3779
51,0.0478,0.9843,3.2679,0.3724,0.3698
52,0.0368,0.9896,3.2726,0.3848,0.3798
53,0.0350,0.9886,3.2229,0.3807,0.3774
54,0.0226,0.9957,3.2801,0.3889,0.3863
55,0.0239,0.9934,3.2537,0.3909,0.3890
56,0.0197,0.9972,3.2498,0.3827,0.3799
57,0.0128,0.9991,3.3194,0.3786,0.3762
58,0.0172,0.9962,3.3356,0.3848,0.3817
59,0.0221,0.9938,3.5081,0.3560,0.3555
60,0.0196,0.9948,3.3806,0.3807,0.3766
61,0.0190,0.9948,3.4053,0.3971,0.3949
62,0.0172,0.9962,3.4383,0.3807,0.3791
63,0.0175,0.9967,3.4257,0.3786,0.3770
64,0.0142,0.9957,3.3995,0.4012,0.3986
65,0.0117,0.9981,3.4200,0.3827,0.3819
66,0.0145,0.9967,3.5189,0.3848,0.3844
67,0.0136,0.9967,3.5981,0.3765,0.3764
68,0.0205,0.9948,3.6400,0.3560,0.3547
69,0.0188,0.9967,3.5584,0.3580,0.3554
70,0.0166,0.9957,3.6086,0.3724,0.3688
71,0.0179,0.9962,3.6837,0.3683,0.3670
72,0.0209,0.9948,3.6922,0.3745,0.3727
73,0.0217,0.9934,3.5903,0.3663,0.3612
74,0.0246,0.9924,3.5953,0.3786,0.3721
