epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.6987,0.2661,1.3861,0.2481,0.1927
2,1.6352,0.2412,1.3890,0.2593,0.2190
3,1.5175,0.2870,1.3917,0.2574,0.2030
4,1.4971,0.2685,1.3718,0.2778,0.2548
5,1.4351,0.3026,1.3609,0.2944,0.2630
6,1.3988,0.3192,1.3831,0.3019,0.2463
7,1.3798,0.3436,1.4000,0.2796,0.2262
8,1.3691,0.3392,1.4377,0.3019,0.2340
9,1.3592,0.3387,1.4840,0.2889,0.2178
10,1.3298,0.3548,1.5373,0.2981,0.2110
11,1.3184,0.3577,1.5285,0.3037,0.2195
12,1.3020,0.3762,1.5342,0.3093,0.2283
13,1.2837,0.3928,1.4717,0.3167,0.2433
14,1.2861,0.3845,1.5158,0.3130,0.2392
15,1.2782,0.3938,1.5107,0.3111,0.2377
16,1.2763,0.3962,1.5292,0.3093,0.2418
17,1.2708,0.4108,1.4497,0.3444,0.2814
18,1.2541,0.4055,1.5099,0.3352,0.2735
19,1.2545,0.4059,1.4695,0.3426,0.2818
20,1.2353,0.4366,1.4502,0.3333,0.2776
21,1.2562,0.4035,1.4004,0.3648,0.3076
22,1.2350,0.4264,1.4235,0.3481,0.2862
23,1.2410,0.4230,1.4236,0.3556,0.2938
24,1.2275,0.4308,1.3662,0.3556,0.3055
25,1.2150,0.4459,1.4482,0.3537,0.2918
26,1.2169,0.4483,1.3456,0.3796,0.3337
27,1.2112,0.4479,1.3821,0.3815,0.3274
28,1.2181,0.4391,1.3780,0.3778,0.3277
29,1.1962,0.4464,1.3945,0.3648,0.3113
30,1.2160,0.4518,1.3342,0.3833,0.3545
31,1.1936,0.4542,1.3593,0.3852,0.3428
32,1.1961,0.4664,1.3243,0.3759,0.3420
33,1.1910,0.4513,1.3292,0.3611,0.3352
34,1.2033,0.4566,1.3021,0.3815,0.3616
35,1.1973,0.4586,1.3417,0.3796,0.3437
36,1.1816,0.4820,1.2746,0.4056,0.3753
37,1.1665,0.4732,1.2579,0.4259,0.3987
38,1.1697,0.4766,1.2805,0.4093,0.3817
39,1.1536,0.4849,1.3165,0.4167,0.3751
40,1.1687,0.4693,1.2748,0.4259,0.3752
41,1.1585,0.4825,1.2775,0.4278,0.3646
42,1.1317,0.5073,1.3930,0.4222,0.3562
43,1.1378,0.5034,1.2686,0.4259,0.3493
44,1.1293,0.5112,1.2103,0.4667,0.4050
45,1.1308,0.5083,1.2013,0.4722,0.4155
46,1.1201,0.5171,1.2552,0.4407,0.3639
47,1.1205,0.5166,1.2358,0.4481,0.3819
48,1.1081,0.5049,1.1935,0.4704,0.4144
49,1.1161,0.5049,1.1878,0.4741,0.4147
50,1.1199,0.5185,1.1742,0.5000,0.4504
51,1.1132,0.5000,1.1809,0.4741,0.4132
52,1.0985,0.5292,1.1916,0.4741,0.4138
53,1.1027,0.5214,1.1889,0.4759,0.4174
54,1.1088,0.5141,1.1834,0.4815,0.4293
55,1.0708,0.5322,1.2029,0.4815,0.4173
56,1.0830,0.5273,1.1933,0.4741,0.4186
57,1.0958,0.5278,1.1831,0.4722,0.4169
58,1.0871,0.5312,1.1806,0.4741,0.4169
59,1.0917,0.5302,1.2130,0.4611,0.4049
60,1.0814,0.5224,1.1913,0.4667,0.4084
61,1.0739,0.5390,1.1883,0.4741,0.4140
62,1.0729,0.5356,1.2112,0.4648,0.4023
63,1.0841,0.5288,1.2234,0.4556,0.3891
64,1.0929,0.5200,1.2220,0.4500,0.3822
65,1.0720,0.5307,1.2153,0.4611,0.4019
66,1.0625,0.5424,1.1920,0.4648,0.4052
67,1.0843,0.5424,1.2177,0.4593,0.3929
68,1.0728,0.5400,1.2109,0.4593,0.4001
69,1.0693,0.5234,1.1760,0.4759,0.4191
70,1.0550,0.5429,1.2090,0.4611,0.3954
71,1.0827,0.5195,1.2191,0.4593,0.3976
72,1.0515,0.5327,1.2091,0.4685,0.4116
73,1.0529,0.5434,1.2229,0.4648,0.4070
74,1.0570,0.5273,1.2721,0.4593,0.3934
75,1.0527,0.5502,1.2553,0.4556,0.3922
