epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.8714,0.2661,1.5169,0.2667,0.2248
2,1.6479,0.3348,1.5192,0.3019,0.2950
3,1.5085,0.3928,1.4921,0.3204,0.3147
4,1.3729,0.4327,1.5026,0.3000,0.2934
5,1.2805,0.4742,1.5002,0.3407,0.3387
6,1.2022,0.5058,1.5464,0.3315,0.3233
7,1.0874,0.5570,1.5107,0.3481,0.3447
8,0.9849,0.5897,1.5522,0.3648,0.3615
9,0.9004,0.6365,1.5775,0.3519,0.3463
10,0.8144,0.6715,1.5867,0.3778,0.3749
11,0.7324,0.7091,1.7668,0.3519,0.3503
12,0.6372,0.7490,1.6784,0.3815,0.3786
13,0.5847,0.7695,1.7822,0.3574,0.3553
14,0.5083,0.8017,1.8828,0.3685,0.3649
15,0.4355,0.8431,1.9190,0.3704,0.3694
16,0.3867,0.8660,1.8919,0.3778,0.3755
17,0.3496,0.8752,1.8885,0.3630,0.3614
18,0.3387,0.8723,1.9732,0.3870,0.3833
19,0.2770,0.9094,1.9758,0.3926,0.3929
20,0.2500,0.9162,1.9931,0.3963,0.3961
21,0.2457,0.9172,2.0301,0.3944,0.3947
22,0.2353,0.9211,2.1274,0.3796,0.3788
23,0.2090,0.9342,2.1464,0.3722,0.3719
24,0.1949,0.9323,2.1840,0.3907,0.3909
25,0.1784,0.9440,2.2114,0.4148,0.4134
26,0.1367,0.9610,2.2281,0.4037,0.4033
27,0.1542,0.9488,2.2017,0.4278,0.4239
28,0.1318,0.9610,2.3518,0.3889,0.3885
29,0.1326,0.9605,2.4327,0.4037,0.4047
30,0.1267,0.9644,2.3984,0.3815,0.3806
31,0.1260,0.9586,2.4246,0.3907,0.3907
32,0.1269,0.9557,2.3240,0.4167,0.4161
33,0.1151,0.9566,2.5380,0.4111,0.4098
34,0.0985,0.9712,2.6049,0.3889,0.3878
35,0.1009,0.9678,2.5484,0.3963,0.3955
36,0.1022,0.9669,2.5942,0.4056,0.4060
37,0.1158,0.9639,2.5985,0.4204,0.4181
38,0.1303,0.9600,2.6559,0.4019,0.4032
39,0.1120,0.9625,2.8105,0.4074,0.4088
40,0.1267,0.9557,2.7440,0.4111,0.4097
41,0.0985,0.9669,2.8295,0.3852,0.3860
42,0.0741,0.9737,2.7070,0.3963,0.3961
43,0.0846,0.9756,2.8617,0.4019,0.4009
44,0.0867,0.9717,2.7959,0.4093,0.4091
45,0.1156,0.9591,2.9683,0.4130,0.4129
46,0.0905,0.9717,2.9487,0.3852,0.3852
47,0.1011,0.9664,2.9476,0.4000,0.4001
48,0.0935,0.9678,2.9631,0.3796,0.3794
49,0.0768,0.9732,2.9399,0.3963,0.3965
50,0.0706,0.9761,3.0398,0.4056,0.4064
51,0.0555,0.9815,3.0230,0.4093,0.4096
52,0.0449,0.9864,3.0422,0.3889,0.3895
