epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.3858,0.2778,1.3754,0.3333,0.3251
2,1.3396,0.3684,1.3301,0.3537,0.3464
3,1.2673,0.4133,1.2985,0.3722,0.3674
4,1.2202,0.4581,1.2824,0.4056,0.4052
5,1.1876,0.4810,1.2663,0.4241,0.4228
6,1.1631,0.4946,1.2436,0.4500,0.4503
7,1.1260,0.5054,1.1997,0.4759,0.4745
8,1.0881,0.5351,1.1609,0.5056,0.5042
9,1.0469,0.5565,1.1356,0.5148,0.5142
10,1.0241,0.5599,1.1263,0.5000,0.4994
11,1.0007,0.5731,1.1174,0.5000,0.4957
12,0.9932,0.5858,1.0967,0.4944,0.4927
13,0.9790,0.5809,1.1182,0.4981,0.4920
14,0.9666,0.5882,1.0912,0.5278,0.5244
15,0.9622,0.5970,1.0911,0.5204,0.5186
16,0.9441,0.6082,1.0626,0.5389,0.5359
17,0.9280,0.5999,1.0751,0.5426,0.5362
18,0.9470,0.5916,1.0718,0.5241,0.5237
19,0.9302,0.6189,1.0604,0.5500,0.5445
20,0.9015,0.6282,1.0719,0.5537,0.5508
21,0.9118,0.6135,1.0579,0.5333,0.5344
22,0.9103,0.6184,1.0498,0.5574,0.5556
23,0.8857,0.6311,1.0492,0.5574,0.5549
24,0.8923,0.6311,1.0709,0.5407,0.5349
25,0.8859,0.6399,1.0450,0.5593,0.5571
26,0.8837,0.6340,1.0458,0.5444,0.5452
27,0.8657,0.6389,1.0485,0.5630,0.5617
28,0.8628,0.6389,1.0337,0.5556,0.5542
29,0.8648,0.6545,1.0230,0.5741,0.5708
30,0.8540,0.6550,1.0192,0.5796,0.5761
31,0.8370,0.6511,1.0304,0.5667,0.5671
32,0.8428,0.6574,1.0272,0.5870,0.5894
33,0.8307,0.6516,1.0103,0.5963,0.5946
34,0.8170,0.6545,1.0119,0.5963,0.5932
35,0.8196,0.6652,1.0376,0.5759,0.5655
36,0.7981,0.6803,1.0060,0.5722,0.5690
37,0.8009,0.6784,1.0063,0.6019,0.5991
38,0.8137,0.6750,0.9948,0.5944,0.5918
39,0.8049,0.6759,0.9787,0.6204,0.6186
40,0.7862,0.6891,1.0122,0.5907,0.5880
41,0.7805,0.6754,0.9757,0.6148,0.6129
42,0.7839,0.6725,0.9721,0.6019,0.6008
43,0.7918,0.6779,0.9746,0.6204,0.6203
44,0.7668,0.6881,0.9761,0.6167,0.6144
45,0.7870,0.6862,0.9835,0.5926,0.5875
46,0.7676,0.6886,0.9718,0.6241,0.6190
47,0.7840,0.6827,0.9650,0.6222,0.6170
48,0.7709,0.6788,0.9753,0.6204,0.6166
49,0.7704,0.6915,0.9743,0.6259,0.6222
50,0.7528,0.6979,0.9679,0.6222,0.6181
51,0.7341,0.7057,0.9698,0.6315,0.6303
52,0.7472,0.6910,0.9771,0.6074,0.6041
53,0.7512,0.6988,0.9778,0.6204,0.6184
54,0.7382,0.7003,0.9670,0.6352,0.6325
55,0.7237,0.7057,0.9606,0.6222,0.6206
56,0.7203,0.7149,0.9729,0.6148,0.6128
57,0.7402,0.6925,0.9541,0.6370,0.6373
58,0.7199,0.7130,0.9827,0.6167,0.6150
59,0.7336,0.7061,0.9556,0.6259,0.6243
60,0.7204,0.7120,0.9465,0.6389,0.6381
61,0.7303,0.6969,0.9587,0.6352,0.6349
62,0.7136,0.7096,0.9549,0.6463,0.6435
63,0.7094,0.7144,0.9488,0.6407,0.6393
64,0.7109,0.7125,0.9578,0.6241,0.6214
65,0.7080,0.7081,0.9551,0.6259,0.6241
66,0.7197,0.7183,0.9512,0.6259,0.6244
67,0.7135,0.7247,0.9636,0.6370,0.6380
68,0.7191,0.7091,0.9568,0.6278,0.6256
69,0.7487,0.7061,0.9472,0.6444,0.6412
70,0.7043,0.7359,0.9567,0.6241,0.6216
71,0.7305,0.7013,0.9521,0.6315,0.6301
72,0.7158,0.7173,0.9482,0.6407,0.6404
73,0.7207,0.7061,0.9529,0.6352,0.6353
74,0.7288,0.7144,0.9511,0.6259,0.6261
75,0.7135,0.7096,0.9441,0.6426,0.6408
76,0.7302,0.6979,0.9410,0.6278,0.6282
77,0.6984,0.7154,0.9368,0.6481,0.6472
78,0.7211,0.7061,0.9412,0.6389,0.6383
79,0.7098,0.7281,0.9546,0.6352,0.6346
80,0.6959,0.7261,0.9486,0.6315,0.6308
81,0.7110,0.7286,0.9397,0.6241,0.6238
82,0.6998,0.7227,0.9480,0.6278,0.6260
83,0.6836,0.7339,0.9436,0.6352,0.6334
84,0.6866,0.7378,0.9476,0.6296,0.6281
85,0.6928,0.7310,0.9544,0.6333,0.6296
86,0.7009,0.7188,0.9473,0.6259,0.6241
87,0.6882,0.7237,0.9688,0.6259,0.6261
88,0.7165,0.7198,0.9445,0.6407,0.6408
89,0.6864,0.7310,0.9488,0.6222,0.6209
90,0.6868,0.7373,0.9628,0.6204,0.6209
91,0.6781,0.7276,0.9446,0.6296,0.6290
92,0.6916,0.7315,0.9533,0.6315,0.6316
93,0.6899,0.7261,0.9346,0.6315,0.6287
94,0.6744,0.7325,0.9733,0.6259,0.6243
95,0.6919,0.7261,0.9427,0.6352,0.6342
96,0.6786,0.7266,0.9564,0.6278,0.6289
97,0.6965,0.7144,0.9430,0.6407,0.6408
98,0.6738,0.7295,0.9334,0.6352,0.6350
99,0.6911,0.7286,0.9505,0.6352,0.6343
100,0.6772,0.7403,0.9462,0.6389,0.6392
101,0.6689,0.7261,0.9408,0.6296,0.6289
102,0.6689,0.7485,0.9335,0.6389,0.6379
