epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.3870,0.2612,1.3740,0.2852,0.2784
2,1.3558,0.3470,1.3446,0.3778,0.3715
3,1.3111,0.3874,1.2782,0.4056,0.3984
4,1.2456,0.4474,1.2323,0.4333,0.4148
5,1.2180,0.4625,1.2093,0.4593,0.4502
6,1.1749,0.4829,1.1895,0.4481,0.4407
7,1.1512,0.5102,1.1713,0.4630,0.4555
8,1.1235,0.5185,1.1407,0.4870,0.4796
9,1.0863,0.5434,1.1367,0.4963,0.4911
10,1.0584,0.5482,1.1021,0.5185,0.5112
11,1.0291,0.5702,1.0779,0.5278,0.5210
12,1.0096,0.5750,1.0691,0.5370,0.5317
13,0.9929,0.5887,1.0593,0.5259,0.5210
14,0.9910,0.5848,1.0535,0.5407,0.5362
15,0.9668,0.6009,1.0346,0.5537,0.5473
16,0.9477,0.6184,1.0256,0.5611,0.5500
17,0.9438,0.6053,1.0179,0.5630,0.5550
18,0.9357,0.6174,1.0132,0.5593,0.5476
19,0.9424,0.5965,1.0184,0.5685,0.5551
20,0.9298,0.6135,1.0173,0.5611,0.5565
21,0.9205,0.6204,1.0028,0.5685,0.5603
22,0.9024,0.6243,1.0129,0.5759,0.5618
23,0.9066,0.6223,1.0177,0.5815,0.5771
24,0.8923,0.6321,0.9918,0.5889,0.5777
25,0.8911,0.6321,0.9931,0.5852,0.5708
26,0.8808,0.6428,0.9985,0.5685,0.5640
27,0.8839,0.6418,1.0057,0.5741,0.5675
28,0.8560,0.6452,1.0129,0.5500,0.5492
29,0.8633,0.6491,1.0026,0.5648,0.5556
30,0.8442,0.6579,0.9913,0.5815,0.5726
31,0.8391,0.6569,0.9943,0.5704,0.5591
32,0.8582,0.6418,1.0047,0.5722,0.5647
33,0.8428,0.6652,1.0046,0.5722,0.5623
34,0.8456,0.6520,0.9896,0.5519,0.5445
35,0.8555,0.6501,0.9883,0.5667,0.5579
36,0.8363,0.6550,1.0002,0.5593,0.5564
37,0.8259,0.6623,0.9978,0.5667,0.5625
38,0.8440,0.6516,0.9762,0.5833,0.5702
39,0.8037,0.6784,0.9863,0.5704,0.5623
40,0.8113,0.6779,0.9931,0.5574,0.5507
41,0.8044,0.6823,0.9683,0.5852,0.5770
42,0.8164,0.6706,0.9964,0.5704,0.5630
43,0.8034,0.6764,0.9851,0.5611,0.5540
44,0.7963,0.6808,0.9790,0.5648,0.5601
45,0.8110,0.6701,0.9751,0.5926,0.5817
46,0.7919,0.6735,0.9842,0.5759,0.5678
47,0.7858,0.6954,0.9822,0.5593,0.5517
48,0.7967,0.6715,0.9898,0.5519,0.5473
49,0.7793,0.6740,0.9942,0.5648,0.5644
50,0.7737,0.6920,0.9740,0.5759,0.5614
51,0.7743,0.6896,0.9689,0.5778,0.5704
52,0.7486,0.7013,0.9728,0.5685,0.5649
53,0.7510,0.7018,0.9636,0.5815,0.5701
54,0.7711,0.6979,0.9644,0.5815,0.5744
55,0.7524,0.7032,0.9719,0.5741,0.5688
56,0.7440,0.7086,0.9578,0.5907,0.5842
57,0.7515,0.7008,0.9629,0.5796,0.5721
58,0.7678,0.6886,0.9653,0.5722,0.5627
59,0.7275,0.7047,0.9659,0.5741,0.5663
60,0.7504,0.7018,0.9737,0.5704,0.5642
61,0.7578,0.6935,0.9769,0.5741,0.5699
62,0.7405,0.6940,0.9587,0.5833,0.5712
63,0.7352,0.7076,0.9672,0.5759,0.5695
64,0.7541,0.7052,0.9729,0.5778,0.5749
65,0.7385,0.7047,0.9601,0.5741,0.5675
66,0.7346,0.7086,0.9598,0.5870,0.5794
67,0.7349,0.6866,0.9701,0.5889,0.5829
68,0.7230,0.7052,0.9579,0.5944,0.5880
69,0.7377,0.7135,0.9684,0.5815,0.5714
70,0.7332,0.7013,0.9640,0.5870,0.5823
71,0.7128,0.7208,0.9555,0.5926,0.5846
72,0.7294,0.7115,0.9618,0.5907,0.5809
73,0.7365,0.7018,0.9618,0.5815,0.5744
74,0.7292,0.7008,0.9604,0.6037,0.5927
75,0.7237,0.7091,0.9569,0.5852,0.5721
76,0.6933,0.7266,0.9610,0.5926,0.5832
77,0.7147,0.7052,0.9632,0.5722,0.5615
78,0.7179,0.7169,0.9503,0.5981,0.5903
79,0.7217,0.7120,0.9636,0.5833,0.5778
80,0.7303,0.7091,0.9606,0.5870,0.5792
81,0.7050,0.7169,0.9591,0.5944,0.5866
82,0.7324,0.7032,0.9629,0.5944,0.5899
83,0.7276,0.7027,0.9708,0.5796,0.5750
84,0.7094,0.7159,0.9642,0.6000,0.5887
85,0.7359,0.6988,0.9591,0.6019,0.5930
86,0.7133,0.7076,0.9681,0.5889,0.5797
87,0.7128,0.7066,0.9645,0.6000,0.5890
88,0.6938,0.7110,0.9750,0.5778,0.5725
89,0.7085,0.7139,0.9660,0.5815,0.5706
90,0.7007,0.7305,0.9594,0.6000,0.5884
91,0.6989,0.7261,0.9632,0.5963,0.5882
92,0.7201,0.7105,0.9584,0.5833,0.5728
93,0.7275,0.7105,0.9551,0.5963,0.5864
94,0.6928,0.7237,0.9559,0.5907,0.5815
95,0.7012,0.7266,0.9576,0.5944,0.5826
96,0.7308,0.7149,0.9586,0.5981,0.5914
97,0.7025,0.7135,0.9518,0.6019,0.5909
98,0.7035,0.7169,0.9627,0.5870,0.5756
99,0.7196,0.7032,0.9669,0.5963,0.5912
