epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.3791,0.2768,1.3704,0.3167,0.3136
2,1.3308,0.3499,1.3129,0.4019,0.3676
3,1.2786,0.4167,1.2721,0.4204,0.3927
4,1.2307,0.4435,1.2406,0.4315,0.4127
5,1.2025,0.4498,1.2226,0.4593,0.4432
6,1.1693,0.4820,1.1836,0.4870,0.4774
7,1.1274,0.5166,1.1456,0.5148,0.5106
8,1.0948,0.5263,1.1067,0.5167,0.5097
9,1.0790,0.5288,1.0972,0.5426,0.5389
10,1.0409,0.5517,1.0838,0.5315,0.5108
11,1.0270,0.5492,1.0935,0.5315,0.5202
12,1.0086,0.5697,1.0670,0.5426,0.5349
13,0.9929,0.5872,1.0626,0.5556,0.5489
14,0.9786,0.5950,1.0526,0.5500,0.5411
15,0.9715,0.5872,1.0340,0.5611,0.5509
16,0.9566,0.6058,1.0298,0.5722,0.5620
17,0.9490,0.6096,1.0251,0.5833,0.5658
18,0.9384,0.6096,1.0252,0.5704,0.5571
19,0.9191,0.6233,1.0291,0.5722,0.5631
20,0.9186,0.6184,1.0183,0.5815,0.5770
21,0.9160,0.6106,1.0094,0.5685,0.5599
22,0.9085,0.6218,1.0120,0.5926,0.5832
23,0.8785,0.6467,1.0139,0.5870,0.5793
24,0.8767,0.6326,1.0189,0.5852,0.5782
25,0.9006,0.6218,1.0052,0.5926,0.5810
26,0.8688,0.6389,0.9958,0.5889,0.5841
27,0.8717,0.6389,1.0047,0.5926,0.5816
28,0.8513,0.6540,1.0070,0.5963,0.5926
29,0.8545,0.6481,1.0192,0.5833,0.5769
30,0.8455,0.6511,1.0004,0.6056,0.5961
31,0.8416,0.6569,0.9740,0.5796,0.5708
32,0.8573,0.6520,1.0049,0.5889,0.5803
33,0.8529,0.6506,0.9705,0.5963,0.5864
34,0.8213,0.6725,0.9750,0.5907,0.5864
35,0.8377,0.6516,0.9718,0.5944,0.5886
36,0.7990,0.6696,0.9820,0.5907,0.5843
37,0.8181,0.6793,0.9830,0.6037,0.5986
38,0.8222,0.6642,1.0000,0.5981,0.5917
39,0.8003,0.6750,0.9695,0.6148,0.6059
40,0.8014,0.6750,0.9607,0.6000,0.5955
41,0.7960,0.6784,0.9729,0.6000,0.5914
42,0.7950,0.6842,0.9708,0.6037,0.5908
43,0.7997,0.6866,0.9575,0.6185,0.6135
44,0.7898,0.6696,0.9545,0.6019,0.5931
45,0.8005,0.6754,0.9856,0.6019,0.5942
46,0.7856,0.6823,0.9720,0.5907,0.5832
47,0.7857,0.6832,0.9604,0.5963,0.5910
48,0.7806,0.6862,0.9600,0.6241,0.6209
49,0.7761,0.6862,0.9520,0.6148,0.6090
50,0.7785,0.6896,0.9497,0.6167,0.6090
51,0.7404,0.7115,0.9509,0.6130,0.6076
52,0.7585,0.7057,0.9470,0.6167,0.6104
53,0.7549,0.6979,0.9471,0.6259,0.6201
54,0.7699,0.6866,0.9419,0.6241,0.6164
55,0.7450,0.7071,0.9467,0.6019,0.5951
56,0.7655,0.7047,0.9451,0.6148,0.6101
57,0.7449,0.6974,0.9485,0.6204,0.6142
58,0.7328,0.7217,0.9415,0.6148,0.6077
59,0.7340,0.7110,0.9532,0.6111,0.6078
60,0.7489,0.7032,0.9405,0.6259,0.6198
61,0.7182,0.7183,0.9472,0.6278,0.6241
62,0.7351,0.7052,0.9480,0.6167,0.6115
63,0.7428,0.7032,0.9441,0.6204,0.6143
64,0.7416,0.6935,0.9539,0.6204,0.6134
65,0.7356,0.7027,0.9373,0.6278,0.6211
66,0.7277,0.7222,0.9492,0.6185,0.6132
67,0.7500,0.6983,0.9462,0.6185,0.6150
68,0.7320,0.7013,0.9370,0.6241,0.6193
69,0.7464,0.7076,0.9644,0.6093,0.6024
70,0.7385,0.7032,0.9356,0.6185,0.6134
71,0.7183,0.7115,0.9376,0.6259,0.6190
72,0.7109,0.7139,0.9442,0.6241,0.6185
73,0.7326,0.7061,0.9447,0.6204,0.6153
74,0.7325,0.7008,0.9471,0.6204,0.6156
75,0.7210,0.7100,0.9376,0.6241,0.6158
76,0.7138,0.7159,0.9455,0.6074,0.6029
77,0.7115,0.7154,0.9335,0.6389,0.6312
78,0.7141,0.7208,0.9349,0.6352,0.6273
79,0.6860,0.7237,0.9350,0.6333,0.6275
80,0.7131,0.7125,0.9387,0.6296,0.6215
81,0.7224,0.7003,0.9546,0.6167,0.6103
82,0.7342,0.7164,0.9502,0.6352,0.6280
83,0.7168,0.7164,0.9391,0.6407,0.6350
84,0.7108,0.7100,0.9351,0.6259,0.6183
85,0.7081,0.7237,0.9475,0.6148,0.6093
86,0.7212,0.7173,0.9389,0.6333,0.6272
87,0.7095,0.7154,0.9453,0.6315,0.6244
88,0.7207,0.7032,0.9452,0.6093,0.6034
89,0.7031,0.7286,0.9344,0.6315,0.6226
90,0.7175,0.7052,0.9368,0.6241,0.6152
91,0.6942,0.7305,0.9347,0.6333,0.6255
92,0.6932,0.7232,0.9294,0.6204,0.6105
93,0.7052,0.7178,0.9262,0.6352,0.6274
94,0.7032,0.7198,0.9407,0.6481,0.6423
95,0.7044,0.7222,0.9317,0.6444,0.6372
96,0.7280,0.7247,0.9464,0.6407,0.6324
97,0.7171,0.7110,0.9274,0.6333,0.6274
98,0.6960,0.7295,0.9295,0.6407,0.6348
99,0.7006,0.7325,0.9322,0.6481,0.6422
100,0.7026,0.7247,0.9244,0.6315,0.6252
101,0.6787,0.7188,0.9319,0.6426,0.6383
102,0.6912,0.7256,0.9345,0.6407,0.6365
103,0.6947,0.7276,0.9203,0.6370,0.6300
104,0.7131,0.7169,0.9281,0.6389,0.6321
105,0.6762,0.7242,0.9240,0.6481,0.6417
106,0.6952,0.7286,0.9243,0.6333,0.6265
107,0.7089,0.7139,0.9270,0.6444,0.6380
108,0.6942,0.7198,0.9273,0.6519,0.6449
109,0.7008,0.7329,0.9327,0.6426,0.6374
110,0.6866,0.7222,0.9271,0.6426,0.6372
111,0.6997,0.7125,0.9223,0.6426,0.6371
112,0.6901,0.7208,0.9262,0.6444,0.6373
113,0.6886,0.7325,0.9215,0.6481,0.6426
114,0.6866,0.7281,0.9187,0.6426,0.6352
115,0.6940,0.7173,0.9251,0.6259,0.6193
116,0.6778,0.7305,0.9238,0.6278,0.6214
117,0.6793,0.7237,0.9198,0.6370,0.6300
118,0.6813,0.7276,0.9361,0.6389,0.6345
119,0.6848,0.7227,0.9239,0.6389,0.6309
120,0.6695,0.7407,0.9238,0.6444,0.6377
121,0.7046,0.7286,0.9316,0.6444,0.6376
122,0.6955,0.7169,0.9321,0.6389,0.6317
123,0.6648,0.7383,0.9248,0.6407,0.6333
124,0.6668,0.7344,0.9229,0.6481,0.6413
125,0.6703,0.7485,0.9275,0.6444,0.6403
126,0.6802,0.7315,0.9176,0.6481,0.6401
127,0.6669,0.7417,0.9440,0.6537,0.6499
128,0.6832,0.7193,0.9288,0.6407,0.6349
129,0.6864,0.7290,0.9197,0.6278,0.6195
130,0.6758,0.7271,0.9285,0.6389,0.6327
131,0.6909,0.7217,0.9232,0.6444,0.6361
132,0.6849,0.7178,0.9312,0.6481,0.6434
133,0.6628,0.7305,0.9400,0.6352,0.6288
134,0.6875,0.7325,0.9226,0.6426,0.6347
135,0.6693,0.7329,0.9415,0.6352,0.6311
136,0.6744,0.7315,0.9286,0.6463,0.6402
137,0.6852,0.7276,0.9300,0.6407,0.6342
138,0.6689,0.7295,0.9228,0.6481,0.6405
139,0.6843,0.7315,0.9323,0.6370,0.6317
140,0.6588,0.7403,0.9347,0.6463,0.6416
