epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.3901,0.2669,1.3728,0.2963,0.2763
2,1.3312,0.3500,1.3237,0.3374,0.3300
3,1.2582,0.4198,1.2816,0.3827,0.3694
4,1.2180,0.4435,1.2442,0.4321,0.4244
5,1.1796,0.4839,1.2072,0.4650,0.4669
6,1.1388,0.5152,1.1615,0.4733,0.4628
7,1.0911,0.5323,1.1263,0.5185,0.5133
8,1.0571,0.5494,1.1042,0.5206,0.5137
9,1.0456,0.5475,1.0876,0.5288,0.5280
10,1.0162,0.5712,1.0984,0.5041,0.5063
11,1.0199,0.5674,1.0696,0.5247,0.5244
12,0.9917,0.5874,1.0741,0.5412,0.5418
13,0.9778,0.6045,1.0731,0.5370,0.5309
14,0.9722,0.5935,1.0642,0.5206,0.5143
15,0.9611,0.6059,1.0522,0.5370,0.5293
16,0.9304,0.6216,1.0535,0.5288,0.5244
17,0.9338,0.6111,1.0228,0.5370,0.5350
18,0.9078,0.6306,1.0358,0.5453,0.5444
19,0.9201,0.6258,1.0394,0.5267,0.5261
20,0.9005,0.6368,1.0195,0.5638,0.5659
21,0.8899,0.6349,1.0172,0.5617,0.5570
22,0.8934,0.6372,1.0154,0.5720,0.5706
23,0.8693,0.6491,1.0392,0.5761,0.5760
24,0.8805,0.6415,1.0068,0.5823,0.5858
25,0.8634,0.6358,1.0121,0.5720,0.5703
26,0.8579,0.6515,1.0377,0.5638,0.5570
27,0.8577,0.6605,1.0157,0.5967,0.5962
28,0.8715,0.6410,1.0136,0.6008,0.6050
29,0.8645,0.6481,1.0119,0.5658,0.5633
30,0.8475,0.6614,0.9882,0.5782,0.5778
31,0.8460,0.6510,1.0176,0.5679,0.5676
32,0.8276,0.6500,0.9993,0.5864,0.5872
33,0.8456,0.6519,0.9916,0.6008,0.6024
34,0.8342,0.6686,0.9964,0.5782,0.5763
35,0.8241,0.6671,0.9961,0.5947,0.5946
36,0.8074,0.6700,0.9918,0.5864,0.5879
37,0.8184,0.6785,0.9959,0.5720,0.5692
38,0.8169,0.6605,1.0064,0.5823,0.5831
39,0.8136,0.6652,0.9775,0.5967,0.5994
40,0.7919,0.6809,0.9868,0.5926,0.5947
41,0.8051,0.6648,0.9659,0.6091,0.6102
42,0.8049,0.6757,0.9779,0.5947,0.5959
43,0.7928,0.6714,0.9868,0.6029,0.6031
44,0.7833,0.6947,0.9821,0.5905,0.5918
45,0.7672,0.6994,0.9816,0.5947,0.5977
46,0.7888,0.6909,0.9718,0.6008,0.6015
47,0.7893,0.6866,0.9716,0.6070,0.6095
48,0.7665,0.6942,0.9783,0.6070,0.6076
49,0.7685,0.6952,0.9922,0.6049,0.6078
50,0.7710,0.6833,0.9701,0.6132,0.6155
51,0.7440,0.7037,0.9770,0.6070,0.6092
52,0.7577,0.7032,0.9711,0.6029,0.6057
53,0.7513,0.7070,0.9674,0.6111,0.6124
54,0.7583,0.7004,0.9688,0.6049,0.6062
55,0.7650,0.7009,0.9710,0.6029,0.6043
56,0.7395,0.6966,0.9653,0.6091,0.6102
57,0.7273,0.7013,0.9661,0.6029,0.6050
58,0.7537,0.6942,0.9710,0.6070,0.6087
59,0.7538,0.7051,0.9804,0.5926,0.5936
60,0.7655,0.6990,0.9709,0.5988,0.6010
61,0.7347,0.7127,0.9651,0.6029,0.6036
62,0.7442,0.7009,0.9694,0.6070,0.6089
63,0.7389,0.7108,0.9730,0.6049,0.6054
64,0.7460,0.7009,0.9754,0.6029,0.6038
65,0.7401,0.7004,0.9670,0.6111,0.6127
66,0.7213,0.7127,0.9647,0.5967,0.5996
67,0.7389,0.6980,0.9719,0.6049,0.6058
68,0.7400,0.7032,0.9648,0.6132,0.6156
69,0.7271,0.6985,0.9821,0.6029,0.6045
70,0.7362,0.7023,0.9719,0.6029,0.6034
71,0.7328,0.6994,0.9733,0.6091,0.6098
72,0.7152,0.7289,0.9642,0.6111,0.6128
73,0.7303,0.7047,0.9725,0.6111,0.6129
74,0.7437,0.7061,0.9680,0.6029,0.6035
75,0.7180,0.7051,0.9584,0.6091,0.6107
