epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.7680,0.2797,2.0681,0.2685,0.1404
2,1.7280,0.2744,1.9245,0.2741,0.1801
3,1.6638,0.3065,2.2765,0.2481,0.1202
4,1.6163,0.3021,2.4563,0.2593,0.1031
5,1.5472,0.3231,2.0270,0.2519,0.1634
6,1.5188,0.3358,1.8940,0.2593,0.1799
7,1.5135,0.3192,2.0231,0.2815,0.1936
8,1.4651,0.3392,1.8499,0.2759,0.1940
9,1.4265,0.3592,1.7537,0.2944,0.2157
10,1.3752,0.3796,1.5778,0.2926,0.2073
11,1.3970,0.3723,1.9847,0.2759,0.1385
12,1.3429,0.3981,1.6676,0.2926,0.2062
13,1.3348,0.4055,1.6907,0.3056,0.2050
14,1.3016,0.4094,1.5556,0.3185,0.2240
15,1.2850,0.4162,1.3487,0.3796,0.3528
16,1.2478,0.4449,1.8237,0.3056,0.1980
17,1.2420,0.4459,1.4299,0.4074,0.3572
18,1.2000,0.4664,1.2996,0.4352,0.3961
19,1.1659,0.4805,1.2668,0.4444,0.4003
20,1.1304,0.5093,1.3710,0.4093,0.3462
21,1.1215,0.5161,1.2083,0.4500,0.4199
22,1.0954,0.5180,1.3411,0.4000,0.3311
23,1.0844,0.5205,1.2576,0.4537,0.4168
24,1.0964,0.5336,1.2476,0.4704,0.4360
25,1.0613,0.5443,1.2499,0.4574,0.4220
26,1.0359,0.5565,1.2009,0.4870,0.4709
27,1.0284,0.5687,1.2442,0.4500,0.4271
28,1.0038,0.5716,1.4314,0.4463,0.4001
29,1.0194,0.5736,1.3224,0.4370,0.3909
30,1.0027,0.5712,1.2305,0.4537,0.4117
31,0.9910,0.5789,1.2585,0.4796,0.4498
32,0.9429,0.5994,1.2552,0.4852,0.4626
33,0.9283,0.6087,1.3480,0.4667,0.4231
34,0.9197,0.6058,1.2075,0.4722,0.4512
35,0.8711,0.6340,1.1919,0.4833,0.4687
36,0.8731,0.6413,1.2187,0.4833,0.4656
37,0.8962,0.6399,1.2132,0.4537,0.4324
38,0.8383,0.6589,1.2347,0.4463,0.4292
39,0.8234,0.6545,1.2128,0.4833,0.4738
40,0.7855,0.6847,1.3215,0.4315,0.4109
41,0.7805,0.6852,1.2330,0.4500,0.4276
42,0.7770,0.6818,1.2601,0.4852,0.4655
43,0.7689,0.6896,1.3022,0.4481,0.4291
44,0.7639,0.6881,1.2937,0.4500,0.4344
45,0.7283,0.6993,1.2550,0.4593,0.4378
46,0.7206,0.7100,1.2941,0.4741,0.4472
47,0.6664,0.7422,1.2913,0.4704,0.4619
48,0.6606,0.7349,1.3579,0.4741,0.4573
49,0.6378,0.7539,1.2917,0.4704,0.4607
50,0.6392,0.7466,1.3250,0.4704,0.4549
51,0.5687,0.7802,1.3014,0.4833,0.4645
