epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.4222,0.2632,1.3875,0.2519,0.1678
2,1.3559,0.3250,1.3663,0.2963,0.2386
3,1.3096,0.3679,1.3213,0.3407,0.3131
4,1.2688,0.3996,1.2533,0.4111,0.4087
5,1.2457,0.4362,1.2316,0.4148,0.4058
6,1.2103,0.4415,1.2362,0.4111,0.4144
7,1.1958,0.4532,1.2123,0.4185,0.4085
8,1.1695,0.4854,1.1541,0.4741,0.4764
9,1.1283,0.5161,1.1302,0.5148,0.5051
10,1.1122,0.5234,1.0889,0.5074,0.5050
11,1.0864,0.5327,1.0885,0.5019,0.4909
12,1.0461,0.5658,1.0681,0.5130,0.5066
13,1.0417,0.5599,1.0427,0.5389,0.5308
14,1.0372,0.5580,1.0435,0.5167,0.5099
15,1.0266,0.5575,1.0505,0.5296,0.5239
16,0.9989,0.5814,1.0382,0.5259,0.5207
17,0.9884,0.5867,1.0460,0.5241,0.5166
18,0.9677,0.5931,1.0359,0.5296,0.5196
19,0.9756,0.5970,1.0536,0.5185,0.5101
20,0.9746,0.5789,1.0364,0.5370,0.5296
21,0.9599,0.5960,1.0155,0.5611,0.5503
22,0.9372,0.6116,1.0197,0.5204,0.5131
23,0.9333,0.6184,1.0223,0.5519,0.5443
24,0.9295,0.6126,1.0193,0.5556,0.5531
25,0.9305,0.6160,0.9966,0.5593,0.5528
26,0.9277,0.6277,1.0271,0.5463,0.5422
27,0.9194,0.6218,1.0450,0.5500,0.5405
28,0.9043,0.6330,0.9961,0.5593,0.5546
29,0.8925,0.6335,1.0376,0.5407,0.5335
30,0.9052,0.6374,0.9784,0.5796,0.5743
31,0.8773,0.6326,0.9993,0.5574,0.5482
32,0.8702,0.6477,0.9702,0.5833,0.5817
33,0.8558,0.6594,0.9713,0.5944,0.5899
34,0.8733,0.6520,0.9794,0.5741,0.5656
35,0.8564,0.6613,0.9721,0.5593,0.5552
36,0.8734,0.6506,0.9910,0.5574,0.5522
37,0.8392,0.6633,0.9663,0.5870,0.5877
38,0.8320,0.6603,0.9858,0.5611,0.5559
39,0.8595,0.6574,0.9738,0.5741,0.5713
40,0.8193,0.6676,0.9821,0.5815,0.5816
41,0.8281,0.6750,0.9785,0.5833,0.5772
42,0.8313,0.6676,0.9876,0.5667,0.5686
43,0.8365,0.6603,0.9850,0.5648,0.5604
44,0.8129,0.6701,0.9545,0.5944,0.5915
45,0.8109,0.6808,0.9790,0.5722,0.5654
46,0.8186,0.6652,0.9528,0.5907,0.5884
47,0.8079,0.6813,0.9896,0.5667,0.5592
48,0.7988,0.6725,0.9566,0.5852,0.5850
49,0.8027,0.6784,0.9736,0.5833,0.5824
50,0.8160,0.6735,0.9648,0.5870,0.5902
51,0.7707,0.6959,0.9386,0.6074,0.6028
52,0.7782,0.6813,0.9539,0.5944,0.5919
53,0.7653,0.6866,0.9403,0.5963,0.5936
54,0.7659,0.6974,0.9475,0.5981,0.5968
55,0.7744,0.6940,0.9472,0.6019,0.6009
56,0.7591,0.6969,0.9317,0.6019,0.5995
57,0.7758,0.6920,0.9442,0.6037,0.6033
58,0.7728,0.6774,0.9355,0.6111,0.6109
59,0.7653,0.6974,0.9491,0.5833,0.5805
60,0.7741,0.6998,0.9294,0.5963,0.5961
61,0.7586,0.6969,0.9496,0.5815,0.5791
62,0.7600,0.7057,0.9352,0.6056,0.6022
63,0.7418,0.7135,0.9245,0.5963,0.5948
64,0.7473,0.7013,0.9435,0.5833,0.5817
65,0.7376,0.7096,0.9367,0.5981,0.5946
66,0.7337,0.7232,0.9323,0.6019,0.6009
67,0.7378,0.7057,0.9479,0.5889,0.5857
68,0.7477,0.6959,0.9472,0.5907,0.5898
69,0.7570,0.6886,0.9507,0.5963,0.5928
70,0.7517,0.7047,0.9360,0.5944,0.5936
71,0.7383,0.7037,0.9426,0.5815,0.5800
72,0.7361,0.7110,0.9377,0.6074,0.6027
73,0.7321,0.7173,0.9385,0.5944,0.5925
74,0.7509,0.7008,0.9279,0.6130,0.6129
75,0.7431,0.7135,0.9442,0.5870,0.5860
76,0.7515,0.6915,0.9190,0.6130,0.6142
77,0.7342,0.7071,0.9206,0.6074,0.6060
78,0.7242,0.7149,0.9177,0.6074,0.6062
79,0.7564,0.7027,0.9123,0.6037,0.6033
80,0.7291,0.7027,0.9190,0.6037,0.6016
81,0.7443,0.7032,0.9317,0.6148,0.6133
82,0.7516,0.7076,0.9402,0.6019,0.6007
83,0.7101,0.7198,0.9237,0.6148,0.6130
84,0.7182,0.7178,0.9338,0.6019,0.5996
85,0.7242,0.7120,0.9384,0.6222,0.6174
86,0.7221,0.7125,0.9413,0.5926,0.5914
87,0.7394,0.7212,0.9403,0.5963,0.5960
88,0.7221,0.7164,0.9359,0.5833,0.5855
89,0.7234,0.7169,0.9227,0.6037,0.6044
90,0.7100,0.7125,0.9215,0.6167,0.6130
91,0.7147,0.7247,0.9366,0.5907,0.5901
92,0.7157,0.7208,0.9580,0.5907,0.5910
93,0.7166,0.7159,0.9335,0.5944,0.5924
94,0.6996,0.7203,0.9190,0.6019,0.6006
95,0.7188,0.7232,0.9291,0.5926,0.5906
96,0.7050,0.7339,0.9288,0.6000,0.6000
97,0.7168,0.7242,0.9559,0.5852,0.5830
98,0.7206,0.7159,0.9388,0.5963,0.5951
99,0.7226,0.7159,0.9346,0.5963,0.5941
100,0.6908,0.7173,0.9178,0.6111,0.6109
101,0.7018,0.7290,0.9359,0.5963,0.5965
102,0.7002,0.7173,0.9215,0.6019,0.6008
103,0.6858,0.7164,0.9203,0.6000,0.5996
104,0.6887,0.7305,0.9310,0.6074,0.6076
105,0.6974,0.7222,0.9198,0.5981,0.5971
106,0.7142,0.7222,0.9152,0.6111,0.6096
107,0.6775,0.7378,0.9319,0.6000,0.6001
108,0.7029,0.7290,0.9289,0.5981,0.5981
109,0.6844,0.7456,0.9221,0.6019,0.6001
110,0.7114,0.7130,0.9213,0.5944,0.5933
