epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.7804,0.2735,2.4014,0.2243,0.1172
2,1.7101,0.2925,2.4733,0.2325,0.1459
3,1.6882,0.3129,2.5656,0.2449,0.1626
4,1.5864,0.3272,2.4120,0.2469,0.1647
5,1.6007,0.3153,2.4274,0.2181,0.1011
6,1.5682,0.3267,2.0060,0.2572,0.1739
7,1.4998,0.3386,1.8141,0.2572,0.1854
8,1.4400,0.3756,2.0827,0.2387,0.1397
9,1.4616,0.3575,2.0321,0.2531,0.1599
10,1.4179,0.3538,1.6633,0.2716,0.2083
11,1.3798,0.3870,1.8605,0.2572,0.1735
12,1.3564,0.3875,1.6683,0.3148,0.2749
13,1.3262,0.4022,1.5506,0.3169,0.2813
14,1.2989,0.4288,1.6087,0.3251,0.2686
15,1.2789,0.4169,1.5076,0.3169,0.2893
16,1.2579,0.4302,1.5245,0.3560,0.3302
17,1.2442,0.4535,1.4641,0.3045,0.2735
18,1.2290,0.4525,1.4709,0.3189,0.2829
19,1.2318,0.4511,1.5219,0.3374,0.3106
20,1.1819,0.4720,1.4827,0.3580,0.3396
21,1.1725,0.4943,1.2113,0.4362,0.4389
22,1.1394,0.5166,1.5423,0.3889,0.3453
23,1.0932,0.5290,1.3834,0.4465,0.4144
24,1.0849,0.5375,1.5014,0.4115,0.3757
25,1.0871,0.5399,1.3811,0.4136,0.3933
26,1.0404,0.5603,1.3437,0.4547,0.4295
27,1.0250,0.5712,1.2346,0.4568,0.4466
28,1.0072,0.5750,1.2299,0.4753,0.4660
29,0.9904,0.5859,1.3011,0.4424,0.4247
30,0.9665,0.6045,1.4213,0.4300,0.3991
31,0.9393,0.6068,1.2792,0.4609,0.4418
32,0.9371,0.6206,1.5077,0.4383,0.4048
33,0.9062,0.6353,1.2751,0.4609,0.4515
34,0.9156,0.6320,1.2767,0.4671,0.4585
35,0.9104,0.6211,1.4025,0.4239,0.3998
36,0.8555,0.6472,1.3408,0.4650,0.4514
37,0.8530,0.6500,1.2719,0.4733,0.4598
38,0.8157,0.6690,1.3056,0.4568,0.4380
39,0.8119,0.6781,1.3448,0.4609,0.4436
40,0.7858,0.6695,1.2570,0.4959,0.4944
41,0.7779,0.6952,1.2988,0.4712,0.4653
42,0.7574,0.6947,1.3134,0.4588,0.4458
43,0.7102,0.7217,1.3702,0.4609,0.4415
44,0.7200,0.7227,1.3706,0.4609,0.4478
45,0.6892,0.7308,1.4101,0.4794,0.4646
46,0.6885,0.7217,1.3503,0.4609,0.4532
47,0.6590,0.7412,1.2753,0.4774,0.4770
48,0.6201,0.7673,1.3901,0.4733,0.4626
49,0.6003,0.7564,1.4047,0.4856,0.4750
50,0.5800,0.7726,1.4282,0.4630,0.4510
51,0.5268,0.8025,1.3226,0.4815,0.4776
52,0.5082,0.8115,1.3086,0.4938,0.4919
53,0.5091,0.8120,1.2632,0.4877,0.4880
54,0.4960,0.8101,1.3502,0.4959,0.4940
55,0.4809,0.8248,1.3015,0.4897,0.4917
56,0.4673,0.8291,1.4375,0.4733,0.4645
57,0.4641,0.8452,1.3450,0.4733,0.4752
58,0.4404,0.8419,1.4506,0.4650,0.4531
59,0.4292,0.8557,1.3593,0.4835,0.4841
60,0.4026,0.8651,1.3513,0.5000,0.4988
61,0.4139,0.8528,1.4020,0.4794,0.4768
62,0.4017,0.8647,1.4102,0.4753,0.4726
63,0.4080,0.8500,1.3523,0.4774,0.4830
64,0.3812,0.8642,1.4392,0.4671,0.4644
65,0.3680,0.8770,1.4784,0.4712,0.4649
66,0.3451,0.8841,1.4452,0.4712,0.4724
67,0.3578,0.8780,1.4483,0.4794,0.4755
68,0.3553,0.8794,1.4511,0.4774,0.4741
69,0.3268,0.8889,1.4398,0.5041,0.5082
70,0.3198,0.8946,1.4896,0.4671,0.4656
71,0.3123,0.9041,1.4598,0.4712,0.4692
72,0.3055,0.8989,1.5179,0.4753,0.4715
73,0.2978,0.8998,1.4901,0.4794,0.4784
74,0.2804,0.9131,1.4829,0.4650,0.4656
75,0.2895,0.9031,1.4650,0.4938,0.4940
76,0.2711,0.9117,1.4617,0.5123,0.5159
77,0.2703,0.9055,1.5032,0.4918,0.4933
78,0.2739,0.9036,1.5524,0.4794,0.4764
79,0.2587,0.9217,1.5587,0.4815,0.4803
80,0.2353,0.9368,1.5291,0.4691,0.4692
81,0.2525,0.9198,1.5374,0.4712,0.4715
82,0.2443,0.9236,1.4701,0.4835,0.4892
83,0.2298,0.9245,1.5195,0.4877,0.4878
84,0.2421,0.9188,1.5339,0.4712,0.4726
85,0.2159,0.9307,1.5254,0.4856,0.4898
86,0.2145,0.9364,1.5157,0.4938,0.4978
87,0.2105,0.9326,1.6268,0.4918,0.4847
88,0.1940,0.9449,1.5594,0.4774,0.4802
89,0.2210,0.9278,1.6130,0.4918,0.4915
90,0.2004,0.9326,1.6386,0.4897,0.4897
91,0.1971,0.9373,1.5609,0.4897,0.4926
92,0.1841,0.9492,1.6358,0.4733,0.4746
93,0.1803,0.9406,1.5692,0.4979,0.5002
94,0.1796,0.9430,1.6121,0.4794,0.4831
95,0.1887,0.9411,1.6410,0.4897,0.4884
96,0.1656,0.9563,1.6322,0.4650,0.4652
97,0.1687,0.9530,1.6818,0.4815,0.4813
98,0.1745,0.9449,1.6183,0.4959,0.4984
99,0.1606,0.9525,1.6795,0.4835,0.4837
100,0.1465,0.9592,1.6765,0.4918,0.4930
101,0.1425,0.9592,1.6749,0.4959,0.4961
